handle,title,price_ghs,in_stock,categories,image_file,proposed_requires_prescription,confidence,rule,pharmacist_decision,pharmacist_notes
12pcs-plastic-cutlery,12PCS  PLASTIC CUTLERY,35.00,yes,Baby,12pcs-plastic-cutlery.jpg,NO,medium,consumer category: Baby,,
15pcs-makeup-tool-set,15PCS MAKEUP TOOL SET,80.00,yes,Beauty & Toiletries | Feminine Care,15pcs-makeup-tool-set.jpg,NO,medium,consumer category: Beauty & Toiletries,,
21st-cent-herbal-slimming-tea-24s,21ST CENT. HERBAL SLIMMING TEA 24'S,145.00,yes,,21st-cent-herbal-slimming-tea-24s.webp,NO,low,REVIEW — no category and no dosage form,,
40-oz-tumbler-with-straw,40 OZ TUMBLER WITH STRAW,133.00,yes,Other,40-oz-tumbler-with-straw.webp,NO,medium,consumer category: Other,,
abro-can,ABRO CAN,46.00,yes,Other,abro-can.jpg,NO,medium,consumer category: Other,,
absolut-lip-gloss,ABSOLUT LIP GLOSS,13.00,yes,Beauty & Toiletries,absolut-lip-gloss.jpg,NO,medium,consumer category: Beauty & Toiletries,,
accu-news-ovulation-test-5s,ACCU NEWS OVULATION TEST 5'S,120.00,yes,Other,accu-news-ovulation-test-5s.webp,NO,medium,consumer category: Other,,
aciclovir-denk-200mg,ACICLOVIR DENK 200MG,115.00,yes,,aciclovir-denk-200mg.jpg,YES,high,prescription-only active: aciclovir,,
aciclovir-denk-cream,ACICLOVIR DENK CREAM,108.00,yes,,aciclovir-denk-cream.png,YES,high,prescription-only active: aciclovir,,
actilife-multivitamin-tabs,ACTILIFE MULTIVITAMIN TABS,30.00,yes,Vitamins & Supplements,actilife-multivitamin-tabs.jpg,NO,medium,general-sale active (vitamin) in a dosage form,,
actilife-vit-c-zinc,ACTILIFE VIT C & ZINC,50.00,yes,Vitamins & Supplements,actilife-vit-c-zinc.jpg,NO,high,general-sale: zinc,,
adam-secret,ADAM SECRET,54.00,yes,,adam-secret.jpg,NO,low,REVIEW — no category and no dosage form,,
addyzoa-caps-20s,ADDYZOA CAPS 20'S,185.00,yes,,addyzoa-caps-20s.webp,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
adidas-roll-on-men,ADIDAS ROLL ON MEN,28.00,yes,Beauty & Toiletries,adidas-roll-on-men.jpg,NO,high,general-sale: roll on,,
adidas-roll-on-women,ADIDAS ROLL ON WOMEN,25.00,yes,Beauty & Toiletries,adidas-roll-on-women.webp,NO,high,general-sale: roll on,,
adidas-roll-on-women-50ml,ADIDAS ROLL ON WOMEN 50ML,22.00,yes,Beauty & Toiletries,adidas-roll-on-women-50ml.png,NO,high,general-sale: roll on,,
adom-koo-caps,ADOM KOO CAPS,45.00,yes,,adom-koo-caps.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
adom-koo-mixture,ADOM KOO MIXTURE,22.00,yes,,adom-koo-mixture.jpg,NO,low,REVIEW — no category and no dosage form,,
advanced-clinical-collagen,ADVANCED CLINICAL COLLAGEN,288.00,yes,Beauty & Toiletries,advanced-clinical-collagen.jpg,NO,medium,consumer category: Beauty & Toiletries,,
advanced-clinical-vit-c-serum,ADVANCED CLINICAL VIT C SERUM,288.00,yes,Beauty & Toiletries,advanced-clinical-vit-c-serum.jpg,NO,medium,consumer category: Beauty & Toiletries,,
advanced-clinical-vit-bright,ADVANCED CLINICAL VIT.BRIGHT,288.00,yes,Beauty & Toiletries,advanced-clinical-vit-bright.jpg,NO,medium,consumer category: Beauty & Toiletries,,
agbeve-tonic,AGBEVE TONIC,34.00,yes,,agbeve-tonic.jpg,NO,low,REVIEW — no category and no dosage form,,
aldomet-250mg-tabs,ALDOMET 250MG TABS,17.00,yes,,aldomet-250mg-tabs.jpg,YES,high,prescription-only active: aldomet,,
alive-calcium-d3-gummies,ALIVE CALCIUM +D3 GUMMIES,210.00,yes,Vitamins & Supplements,alive-calcium-d3-gummies.webp,NO,high,general-sale: calcium,,
alka-seltzer-10s,ALKA SELTZER 10S,10.00,yes,,alka-seltzer-10s.jpg,NO,low,REVIEW — no category and no dosage form,,
alka-5-syrup-100ml,ALKA-5 SYRUP 100ML,72.00,yes,,alka-5-syrup-100ml.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
almond-vanilla-scrub,ALMOND VANILLA SCRUB,65.00,yes,Beauty & Toiletries,almond-vanilla-scrub.jpg,NO,medium,consumer category: Beauty & Toiletries,,
alpha-garlic-caps,ALPHA GARLIC CAPS 60s,72.00,yes,Vitamins & Supplements,alpha-garlic-caps.webp,YES,low,"REVIEW — dosage form, active not recognised",,
always-maxi-thick,ALWAYS MAXI THICK,25.00,yes,Feminine Care,always-maxi-thick.webp,NO,medium,consumer category: Feminine Care,,
always-pad-ultra-thin,ALWAYS PAD ULTRA  THIN,25.00,yes,Feminine Care,always-pad-ultra-thin.webp,NO,medium,consumer category: Feminine Care,,
amalfi-hand-soap,AMALFI HAND SOAP,31.00,yes,Beauty & Toiletries,amalfi-hand-soap.png,NO,high,general-sale: soap,,
amaryl-2mg,AMARYL 2MG,225.00,yes,,amaryl-2mg.jpg,YES,high,prescription-only active: amaryl,,
ambrosia-baby-food,AMBROSIA baby food,80.00,yes,Baby,ambrosia-baby-food.jpg,NO,medium,consumer category: Baby,,
amlactin-body-lotion-567g,AMLACTIN BODY LOTION 567G,500.00,yes,Beauty & Toiletries,amlactin-body-lotion-567g.jpg,NO,high,general-sale: lotion,,
amlo-denk-10mg,AMLO DENK 10MG,38.00,yes,,amlo-denk-10mg.jpg,YES,high,prescription-only active: amlo denk,,
amlodipine-10mg-teva,AMLODIPINE 10MG TEVA,17.00,yes,,amlodipine-10mg-teva.jpg,YES,high,prescription-only active: amlodipin,,
